ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Disaster Internal Displacements (Raw),Hazard Category,Hazard Type,Hazard Sub Type,Name,Conflict Stock Displacement,Conflict Stock Displacement (Raw),Conflict Internal Displacements,Conflict Internal Displacements (Raw)
IRQ,Iraq,2021,Iraq: Drought - 10 Governorates - 01/11/2021,2021-08-01,2900.0,2854.0,Weather related,Drought,Conflict-Violence,,,,,
PLW,Palau,2021,"Philippines, Palau, Viet Nam: Typhoon Rai (locally known as Odette) - 9 Regions (PHL), Countrywide (PLW), Quang Ngai, Quang Nam nd Phu Yen (VNM) - 11/12/2021",2021-12-11,2000.0,1995.0,Weather related,Storm,Conflict-Violence,,,,,
PHL,Philippines,2021,"Philippines, Palau, Viet Nam: Typhoon Rai (locally known as Odette) - 9 Regions (PHL), Countrywide (PLW), Quang Ngai, Quang Nam nd Phu Yen (VNM) - 11/12/2021",2021-12-11,3948000.0,3947651.0,Weather related,Storm,Conflict-Violence,,,,,
VNM,Vietnam,2021,"Philippines, Palau, Viet Nam: Typhoon Rai (locally known as Odette) - 9 Regions (PHL), Countrywide (PLW), Quang Ngai, Quang Nam nd Phu Yen (VNM) - 11/12/2021",2021-12-11,3700.0,3694.0,Weather related,Storm,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - East Java - 01/01/2021,2021-01-01,5200.0,5217.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - West Kalimantan - 01/01/2021,2021-01-01,49000.0,48814.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - South Kalimantan - 01/01/2021,2021-01-01,197000.0,196825.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - Central Kalimantan - 01/01/2021,2021-01-01,13000.0,13300.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - East Kalimantan - 01/01/2021,2021-01-01,1000.0,1038.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - Riau - 01/01/2021,2021-01-01,920.0,921.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - Bengkulu - 01/01/2021,2021-01-01,2700.0,2725.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - Special Capital Region of Jakarta - 01/01/2021,2021-01-01,7800.0,7778.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - Jambi - 01/01/2021,2021-01-01,150.0,150.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - West Java - 01/01/2021,2021-01-01,138000.0,138300.0,Weather related,Flood,Conflict-Violence,,,,,
